year,nestbox_id,lat_dd,lon_dd,species,lay_date,clutch_size,ld_doy
1955,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1955-05-01,12,121
1957,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1957-04-15,8,105
1961,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1961-04-11,10,101
1965,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1965-05-04,12,124
1967,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1967-04-16,9,106
1968,HV.0001.0,52.0443124264284,5.84590317440818,pied flycatcher,1968-05-07,6,128
1969,HV.0001.0,52.0443124264284,5.84590317440818,pied flycatcher,1969-05-06,6,126
1971,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1971-04-19,10,109
1972,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1972-04-24,9,115
1973,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1973-04-24,13,114
1974,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1974-04-19,8,109
1975,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1975-05-03,7,123
1976,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1976-04-16,12,107
1977,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1977-04-30,10,120
1978,HV.0001.0,52.0462109014715,5.8541214220629,blue tit,1978-04-27,9,117
1979,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1979-04-24,10,114
1980,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1980-04-20,12,111
1981,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,1981-05-26,6,146
1982,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1982-06-02,7,153
1983,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1983-06-16,9,167
1984,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,1984-05-10,6,131
1985,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1985-04-21,9,111
1986,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,1986-05-07,6,127
1987,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1987-04-23,8,113
1988,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1988-04-23,7,114
1989,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1989-04-22,7,112
1990,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1990-04-06,11,96
1991,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1991-04-11,8,101
1992,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1992-04-09,10,100
1993,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1993-04-26,9,116
1994,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,1994-05-07,7,127
1995,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1995-04-28,9,118
1996,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1996-06-06,7,158
1997,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1997-04-10,10,100
1998,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1998-04-22,9,112
1999,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1999-04-17,9,107
2000,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2000-04-11,9,102
2002,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2002-04-24,7,114
2003,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2003-04-19,7,109
2004,HV.0001.0,52.0462109014715,5.8541214220629,blue tit,2004-04-19,10,110
2005,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2005-04-17,12,107
2006,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2006-05-12,10,132
2008,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2008-04-19,7,110
2009,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2009-04-23,11,113
2010,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,2010-05-08,8,128
2011,HV.0001.0,52.0462109014715,5.8541214220629,nuthatch,2011-04-04,9,94
2012,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2012-04-07,8,98
2013,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2013-05-05,11,125
2014,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,2014-05-14,5,134
2015,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,2015-04-26,5,116
2016,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2016-05-05,9,126
2017,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2017-04-05,9,95
2019,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2019-04-11,8,101
2020,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2020-04-18,10,109
2021,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2021-04-26,10,116
2022,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2022-04-15,8,105
2023,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2023-04-18,7,108
2024,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2024-04-09,11,100
2025,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2025-04-11,11,101
1955,HV.0002.0,52.0439570250512,5.84476063226659,coal tit,1955-04-30,10,120
1956,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1956-06-12,10,164
1957,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1957-04-23,7,113
1959,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1959-06-03,8,154
1961,HV.0002.0,52.0439570250512,5.84476063226659,blue tit,1961-04-18,12,108
1967,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1967-04-19,6,109
1968,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1968-04-26,11,117
1969,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1969-04-27,10,117
1970,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1970-05-04,7,124
1971,HV.0002.0,52.0439570250512,5.84476063226659,pied flycatcher,1971-05-09,6,129
1972,HV.0002.0,52.0439570250512,5.84476063226659,pied flycatcher,1972-05-21,6,142
1973,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1973-04-23,9,113
1974,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1974-05-08,7,128
1975,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1975-04-24,10,114
1976,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1976-06-09,11,161
1977,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1977-05-03,9,123
1978,HV.0002.0,52.0463202006617,5.85375813128272,tree sparrow,1978-05-10,5,130
1979,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1979-05-18,5,138
1980,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1980-05-04,9,125
1981,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1981-04-15,9,105
1982,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1982-04-10,11,100
1983,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1983-04-22,11,112
1984,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1984-04-28,5,119
1985,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1985-05-03,7,123
1986,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1986-04-29,11,119
1987,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1987-05-02,7,122
1988,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1988-04-23,8,114
1989,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1989-04-16,4,106
1990,HV.0002.0,52.0463202006617,5.85375813128272,blue tit,1990-04-18,11,108
1991,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1991-04-18,10,108
1992,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1992-05-05,6,126
1993,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1993-04-15,6,105
1994,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1994-04-16,9,106
1995,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1995-05-01,9,121
1996,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1996-04-21,8,112
1997,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1997-05-09,7,129
1998,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1998-05-06,7,126
1999,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1999-05-13,6,133
2001,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,2001-05-05,6,125
2002,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,2002-05-04,6,124
2003,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2003-04-26,9,116
2005,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2005-04-07,8,97
2006,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,2006-05-15,6,135
2007,HV.0002.0,52.0463202006617,5.85375813128272,coal tit,2007-04-02,8,92
2008,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2008-04-16,9,107
2009,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2009-04-11,11,101
2010,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2010-04-18,9,108
2011,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2011-04-20,12,110
2012,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2012-04-18,5,109
2013,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2013-05-04,7,124
2014,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2014-04-08,8,98
2015,HV.0002.0,52.0463202006617,5.85375813128272,nuthatch,2015-04-14,7,104
2016,HV.0002.0,52.0463202006617,5.85375813128272,nuthatch,2016-04-16,7,107
2017,HV.0002.0,52.0463202006617,5.85375813128272,blue tit,2017-04-06,8,96
2018,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2018-04-15,7,105
2019,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2019-04-17,7,107
2020,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2020-04-17,8,108
2021,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,2021-05-11,6,131
2022,HV.0002.0,52.0463202006617,5.85375813128272,blue tit,2022-04-15,9,105
2023,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2023-04-28,9,118
2024,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2024-04-05,11,96
2025,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2025-04-17,7,107
1957,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1957-04-22,11,112
1959,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1959-04-19,12,109
1961,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1961-04-16,9,106
1962,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1962-06-10,11,161
1963,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1963-06-10,11,161
1964,HV.0003.0,52.0436581626146,5.84373628413965,coal tit,1964-05-28,9,149
1965,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1965-06-06,10,157
1966,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1966-04-30,10,120
1967,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1967-05-17,10,137
1968,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1968-04-17,10,108
1969,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1969-05-28,9,148
1970,HV.0003.0,52.0436581626146,5.84373628413965,great tit,1970-04-30,10,120
1972,HV.0003.0,52.0436581626146,5.84373628413965,pied flycatcher,1972-05-14,5,135
1973,HV.0003.0,52.0462328050801,5.85313039960367,pied flycatcher,1973-05-12,6,132
1974,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1974-04-17,10,107
1975,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1975-05-01,10,121
1976,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1976-04-21,10,112
1977,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1977-04-29,11,119
1978,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1978-04-28,10,118
1979,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1979-04-24,11,114
1980,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1980-05-28,8,149
1981,HV.0003.0,52.0462328050801,5.85313039960367,tree sparrow,1981-04-29,6,119
1982,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1982-04-20,8,110
1983,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1983-04-26,8,116
1984,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1984-04-25,9,116
1985,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1985-04-20,12,110
1986,HV.0003.0,52.0462328050801,5.85313039960367,blue tit,1986-05-01,11,121
1987,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1987-04-20,9,110
1988,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1988-04-25,NA,116
1989,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1989-04-20,8,110
1990,HV.0003.0,52.0462328050801,5.85313039960367,pied flycatcher,1990-05-07,7,127
1991,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1991-04-13,9,103
1993,HV.0003.0,52.0462328050801,5.85313039960367,pied flycatcher,1993-05-07,6,127
1994,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1994-04-24,8,114
1995,HV.0003.0,52.0462328050801,5.85313039960367,pied flycatcher,1995-05-14,6,134
1996,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1996-04-29,7,120
1998,HV.0003.0,52.0462328050801,5.85313039960367,great tit,1998-04-24,13,114
1999,HV.0003.0,52.0462328050801,5.85313039960367,pied flycatcher,1999-05-12,6,132
2000,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2000-04-06,11,97
2001,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2001-04-30,9,120
2004,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2004-04-19,9,110
2005,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2005-04-09,0,99
2006,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2006-04-19,10,109
2007,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2007-04-09,8,99
2008,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2008-04-19,6,110
2009,HV.0003.0,52.0462328050801,5.85313039960367,coal tit,2009-04-03,10,93
2010,HV.0003.0,52.0462328050801,5.85313039960367,blue tit,2010-04-09,13,99
2011,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2011-04-12,10,102
2012,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2012-04-11,13,102
2013,HV.0003.0,52.0462328050801,5.85313039960367,pied flycatcher,2013-05-06,6,126
2014,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2014-04-11,10,101
2015,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2015-04-22,7,112
2016,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2016-04-15,7,106
2017,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2017-04-03,9,93
2018,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2018-05-02,0,122
2019,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2019-04-07,7,97
2020,HV.0003.0,52.0462328050801,5.85313039960367,pied flycatcher,2020-04-26,7,117
2021,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2021-04-24,6,114
2022,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2022-04-14,10,104
2023,HV.0003.0,52.0462328050801,5.85313039960367,nuthatch,2023-04-23,8,113
2024,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2024-04-12,9,103
2025,HV.0003.0,52.0462328050801,5.85313039960367,great tit,2025-04-14,9,104
1955,HV.0004.0,52.0432058264769,5.84221289461753,great tit,1955-06-19,9,170
1957,HV.0004.0,52.0432058264769,5.84221289461753,coal tit,1957-05-30,8,150
1959,HV.0004.0,52.0432058264769,5.84221289461753,coal tit,1959-04-08,9,98
1963,HV.0004.0,52.0432058264769,5.84221289461753,great tit,1963-06-07,10,158
1964,HV.0004.0,52.0432058264769,5.84221289461753,great tit,1964-05-06,10,127
1965,HV.0004.0,52.0432058264769,5.84221289461753,great tit,1965-04-23,10,113
1967,HV.0004.0,52.0432058264769,5.84221289461753,blue tit,1967-04-21,5,111
1968,HV.0004.0,52.0432058264769,5.84221289461753,great tit,1968-04-20,9,111
1969,HV.0004.0,52.0432058264769,5.84221289461753,pied flycatcher,1969-05-06,6,126
1970,HV.0004.0,52.0432058264769,5.84221289461753,great tit,1970-06-10,9,161
1971,HV.0004.0,52.0432058264769,5.84221289461753,pied flycatcher,1971-05-10,0,130
1972,HV.0004.0,52.0432058264769,5.84221289461753,great tit,1972-04-22,9,113
1973,HV.0004.0,52.046046,5.852575,great tit,1973-04-30,9,120
1974,HV.0004.0,52.046046,5.852575,great tit,1974-04-14,10,104
1975,HV.0004.0,52.046046,5.852575,pied flycatcher,1975-05-10,7,130
1976,HV.0004.0,52.046046,5.852575,great tit,1976-05-04,12,125
1977,HV.0004.0,52.046046,5.852575,great tit,1977-04-26,12,116
1978,HV.0004.0,52.046046,5.852575,great tit,1978-04-26,10,116
1980,HV.0004.0,52.046046,5.852575,great tit,1980-04-15,11,106
1981,HV.0004.0,52.046046,5.852575,tree sparrow,1981-05-08,5,128
1982,HV.0004.0,52.046046,5.852575,great tit,1982-04-13,9,103
1983,HV.0004.0,52.046046,5.852575,great tit,1983-04-24,8,114
1984,HV.0004.0,52.046046,5.852575,great tit,1984-04-28,6,119
1986,HV.0004.0,52.046046,5.852575,great tit,1986-05-05,8,125
1987,HV.0004.0,52.046046,5.852575,great tit,1987-04-22,5,112
1988,HV.0004.0,52.046046,5.852575,great tit,1988-04-27,10,118
1990,HV.0004.0,52.046046,5.852575,great tit,1990-04-22,7,112
1991,HV.0004.0,52.046046,5.852575,great tit,1991-04-18,11,108
1992,HV.0004.0,52.046046,5.852575,blue tit,1992-04-16,12,107
1993,HV.0004.0,52.046046,5.852575,blue tit,1993-04-15,11,105
1994,HV.0004.0,52.046046,5.852575,blue tit,1994-04-16,13,106
1996,HV.0004.0,52.046046,5.852575,blue tit,1996-04-21,10,112
1997,HV.0004.0,52.046046,5.852575,blue tit,1997-04-29,12,119
1998,HV.0004.0,52.046046,5.852575,pied flycatcher,1998-05-03,7,123
1999,HV.0004.0,52.046046,5.852575,pied flycatcher,1999-05-07,6,127
2000,HV.0004.0,52.046046,5.852575,pied flycatcher,2000-05-05,6,126
2001,HV.0004.0,52.046046,5.852575,great tit,2001-04-30,9,120
2002,HV.0004.0,52.046046,5.852575,blue tit,2002-04-16,7,106
2003,HV.0004.0,52.046046,5.852575,great tit,2003-04-15,8,105
2005,HV.0004.0,52.046046,5.852575,great tit,2005-04-10,10,100
2006,HV.0004.0,52.046046,5.852575,great tit,2006-05-20,10,140
2007,HV.0004.0,52.046046,5.852575,great tit,2007-04-09,10,99
2008,HV.0004.0,52.046046,5.852575,great tit,2008-04-12,6,103
2009,HV.0004.0,52.046046,5.852575,great tit,2009-04-13,12,103
2010,HV.0004.0,52.046046,5.852575,great tit,2010-04-08,11,98
2011,HV.0004.0,52.046046,5.852575,great tit,2011-04-17,11,107
2012,HV.0004.0,52.046046,5.852575,great tit,2012-04-11,9,102
2013,HV.0004.0,52.046046,5.852575,great tit,2013-05-03,9,123
2014,HV.0004.0,52.046046,5.852575,great tit,2014-04-18,9,108
2015,HV.0004.0,52.046046,5.852575,great tit,2015-04-26,8,116
2017,HV.0004.0,52.046046,5.852575,great tit,2017-04-04,9,94
2018,HV.0004.0,52.046046,5.852575,great tit,2018-04-13,9,103
2019,HV.0004.0,52.046046,5.852575,great tit,2019-04-14,2,104
2020,HV.0004.0,52.046046,5.852575,great tit,2020-04-19,6,110
2021,HV.0004.0,52.046046,5.852575,pied flycatcher,2021-05-15,6,135
2022,HV.0004.0,52.046046,5.852575,great tit,2022-04-14,7,104
2023,HV.0004.0,52.046046,5.852575,great tit,2023-04-23,2,113
2024,HV.0004.0,52.046046,5.852575,great tit,2024-05-18,9,139
2025,HV.0004.0,52.046046,5.852575,great tit,2025-04-11,9,101
2001,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2001-04-29,10,119
2004,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2004-04-19,11,110
2006,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2006-04-29,10,119
2008,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2008-04-19,9,110
2012,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2012-04-23,9,114
2013,HV.0004.S,52.0460462516987,5.85257452515122,pied flycatcher,2013-05-11,0,131
2014,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2014-04-19,6,109
2016,HV.0004.S,52.0460462516987,5.85257452515122,pied flycatcher,2016-05-09,6,130
2017,HV.0004.S,52.0460462516987,5.85257452515122,pied flycatcher,2017-05-15,5,135
2019,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2019-04-09,8,99
2021,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2021-04-26,11,116
2022,HV.0004.S,52.0460462516987,5.85257452515122,pied flycatcher,2022-05-01,5,121
2024,HV.0004.S,52.0460462516987,5.85257452515122,blue tit,2024-04-22,7,113
1955,HV.0005.0,52.0426554733279,5.84005443931261,great tit,1955-06-11,10,162
1956,HV.0005.0,52.0426554733279,5.84005443931261,coal tit,1956-06-07,9,159
1957,HV.0005.0,52.0426554733279,5.84005443931261,great tit,1957-05-15,9,135
1959,HV.0005.0,52.0426554733279,5.84005443931261,great tit,1959-06-04,8,155
1960,HV.0005.0,52.0426554733279,5.84005443931261,great tit,1960-05-31,9,152
1961,HV.0005.0,52.0426554733279,5.84005443931261,great tit,1961-05-31,8,151
1962,HV.0005.0,52.0426554733279,5.84005443931261,great tit,1962-06-06,10,157
1965,HV.0005.0,52.0426554733279,5.84005443931261,great tit,1965-06-15,6,166
1968,HV.0005.0,52.0426554733279,5.84005443931261,blue tit,1968-05-21,9,142
1969,HV.0005.0,52.0426554733279,5.84005443931261,great tit,1969-04-28,10,118
1970,HV.0005.0,52.0426554733279,5.84005443931261,pied flycatcher,1970-05-22,5,142
1971,HV.0005.0,52.0426554733279,5.84005443931261,pied flycatcher,1971-05-03,4,123
1972,HV.0005.0,52.0426554733279,5.84005443931261,pied flycatcher,1972-05-08,6,129
1973,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1973-04-29,10,119
1974,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1974-04-13,9,103
1975,HV.0005.0,52.0457527623167,5.85178431159242,pied flycatcher,1975-05-12,6,132
1976,HV.0005.0,52.0457527623167,5.85178431159242,tree sparrow,1976-05-07,6,128
1977,HV.0005.0,52.0457527623167,5.85178431159242,tree sparrow,1977-05-01,4,121
1978,HV.0005.0,52.0457527623167,5.85178431159242,tree sparrow,1978-05-06,6,126
1979,HV.0005.0,52.0457527623167,5.85178431159242,tree sparrow,1979-04-23,5,113
1980,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1980-04-20,11,111
1981,HV.0005.0,52.0457527623167,5.85178431159242,coal tit,NA,0,NA
1982,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1982-04-20,11,110
1983,HV.0005.0,52.0457527623167,5.85178431159242,blue tit,1983-04-23,11,113
1984,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1984-05-06,6,127
1985,HV.0005.0,52.0457527623167,5.85178431159242,pied flycatcher,1985-05-05,8,125
1986,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1986-04-29,6,119
1987,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1987-04-19,12,109
1988,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1988-04-23,8,114
1989,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1989-06-17,6,168
1990,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1990-04-20,10,110
1992,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1992-04-13,14,104
1993,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1993-05-31,7,151
1994,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1994-04-19,10,109
1995,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1995-04-26,10,116
1996,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1996-04-26,10,117
1997,HV.0005.0,52.0457527623167,5.85178431159242,great tit,1997-04-13,10,103
1998,HV.0005.0,52.0457527623167,5.85178431159242,pied flycatcher,1998-05-02,7,122
1999,HV.0005.0,52.0457527623167,5.85178431159242,blue tit,1999-04-19,11,109
2000,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2000-04-08,9,99
2001,HV.0005.0,52.0457527623167,5.85178431159242,pied flycatcher,2001-05-08,6,128
2002,HV.0005.0,52.0457527623167,5.85178431159242,pied flycatcher,2002-04-28,8,118
2003,HV.0005.0,52.0457527623167,5.85178431159242,pied flycatcher,2003-04-29,6,119
2004,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2004-04-21,10,112
2005,HV.0005.0,52.0457527623167,5.85178431159242,blue tit,2005-04-21,12,111
2006,HV.0005.0,52.0457527623167,5.85178431159242,blue tit,2006-04-21,9,111
2007,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2007-04-09,13,99
2008,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2008-04-15,12,106
2009,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2009-04-29,9,119
2010,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2010-04-17,9,107
2011,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2011-04-11,9,101
2012,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2012-04-04,9,95
2013,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2013-05-07,11,127
2014,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2014-04-08,0,98
2016,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2016-04-17,8,108
2017,HV.0005.0,52.0457527623167,5.85178431159242,blue tit,2017-04-04,11,94
2018,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2018-04-15,8,105
2019,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2019-04-15,7,105
2020,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2020-04-13,9,104
2021,HV.0005.0,52.0457527623167,5.85178431159242,blue tit,2021-05-04,1,124
2022,HV.0005.0,52.0457527623167,5.85178431159242,great tit,2022-04-01,10,91
2023,HV.0005.0,52.0457527623167,5.85178431159242,pied flycatcher,2023-05-03,6,123
2024,HV.0005.0,52.0457527623167,5.85178431159242,pied flycatcher,2024-04-19,6,110
2025,HV.0005.0,52.0457527623167,5.85178431159242,blue tit,2025-04-10,11,100
1991,HV.0005.1,52.0407254,5.85573,great tit,1991-04-12,0,102
1991,HV.0005.2,52.0407254,5.85573,great tit,1991-05-20,7,140
1955,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1955-05-03,9,123
1959,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1959-04-18,11,108
1960,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1960-04-26,10,117
1961,HV.0006.0,52.0420326030747,5.83811011832431,blue tit,1961-04-22,11,112
1963,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1963-06-29,8,180
1964,HV.0006.0,52.0420326030747,5.83811011832431,coal tit,1964-05-31,9,152
1965,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1965-05-02,8,122
1966,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1966-05-14,11,134
1967,HV.0006.0,52.0420326030747,5.83811011832431,coal tit,1967-04-12,10,102
1968,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1968-04-22,10,113
1969,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1969-04-22,11,112
