dataset;sub_dataset;start_date;end_date;variable;description;description_sub
KNMI;Daily in situ;1-1-2024;1-6-2024;"T10NH: 6-hourly division in which T10N was measured; 6=0-6 UT; 12=6-12 UT; 18=12-18 UT; 24=18-24 UT";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;SQ: Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;SP: Percentage of maximum potential sunshine duration;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;Q: Global radiation (in J/cm2);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;DR: Precipitation duration (in 0.1 hour);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;RH: Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;RHX: Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;RHXH: Hourly division in which RHX was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;PG: Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;PX: Maximum hourly sea level pressure (in 0.1 hPa);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;PXH: Hourly division in which PX was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;PN: Minimum hourly sea level pressure (in 0.1 hPa);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;PNH: Hourly division in which PN was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;"VVN: Minimum visibility; 0: <100 m; 1:100-200 m; 2:200-300 m;...; 49:4900-5000 m; 50:5-6 km; 56:6-7 km; 57:7-8 km;...; 79:29-30 km; 80:30-35 km; 81:35-40 km;...; 89: >70 km";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;VVNH: Hourly division in which VVN was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;"VVX: Maximum visibility; 0: <100 m; 1:100-200 m; 2:200-300 m;...; 49:4900-5000 m; 50:5-6 km; 56:6-7 km; 57:7-8 km;...; 79:29-30 km; 80:30-35 km; 81:35-40 km;...; 89: >70 km)";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;VVXH: Hourly division in which VVX was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;"NG: Mean daily cloud cover (in octants; 9=sky invisible)";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;UG: Daily mean relative atmospheric humidity (in percents);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;UX: Maximum relative atmospheric humidity (in percents);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;UXH: Hourly division in which UX was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;UN: Minimum relative atmospheric humidity (in percents);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
